autonummering;Veldcode;IDToonW;sampling_unit_code;naam;SGO__km²_;SBZ;provincie;x;y;AfstandTot;RankingGRT;SGO;Volgorde;Jaar;jaar planning;monitoringsvolgorde;adres;afgedrukt?;kopies digitaal document opgemaakt;met 2;versie veldprotocol;waterranonkels;TypischeSoorten;datum veldbezoek;jaar monitoring;doelhabitat;invoerwijze;klasse;reden geen bemonstering/ongeschikt;opmerking;"Ingevoerd in INBOVEG:1=ja; 0=nee";user_reference;SchaduwRS8m;Meermaals bezocht per jaar;locatie SO of SA verschoven (xy aangepast tov origineel aangereikt meetpunt, volgens protocol);SchaduwBoom (uit inboveg);lengte duiker/brug (uit inboveg);lengte bodemplaat (uit inboveg);werk nodig;;;;;
77;GouLo_04;824;1_4_824;GOUWBERGSE LOOP;<10;1;Antwerpen;181146,9;242742;8,295026;9436254;<10;25;6;2020;4;Strijbeek, Hoogstraten;ja;ja;nee;versie 1.0;ja;ja (CalliHam en RanunBat);13/07/2017;2017;3260;digitaal;uitval (ongeschikt);permanent ongeschikt: schaduw;;1;#NAAM?;0,89;;nee;60;0;0;klasse in inboveg niet correct;;;;;
78;GroNe_09;1402;1_4_1402;GROTE NETE;>50;1;Antwerpen;200562,1;203135,9;18,28544;2465270;>10;43;6;2020;3;Machielskesbrug, 2450 Meerhout;ja;ja;ja;versie 1.0;ja;ja (CalliHam en RanunBat);2/06/2017;2017;gh;digitaal;uitval (gh);permanent ongeschikt: schaduw;;1;#NAAM?;0,29;;nee;35;3;0;;;;;;
79;Renne_07;390;1_4_390;RENNE;<10;1;Limburg;246848,5;206803,7;6,328407;9302418;<10;24;6;2020;5;Linsenstraat, 3640 Kinrooi;ja;ja;nee;versie 1.0;nee;Pbercht;6/07/2017;2017;gh;digitaal;uitval (gh);;;1;#NAAM?;0,00;;nee;0;0;5;;;;;;
80;SchNe_04;;;;;;;203664,539;209630,135;;;>10;7;6;2020;1b;Kropstraat 54, 2400 Mol;ja;ja;nee;versie 1.0;ja;RanunPel en RanunBat;17/05/2017;2017;3260;digitaal;niet meetellen (2x bezocht);;is vervangpunt van SchNe_04o;1;#NAAM?;0,00;ja;ja;15;1;0;;;;;;
81;SchNe_04;;;;;;;203664,539;209630,135;;;>10;7;6;2020;;;ja;ja;nee;versie 1.0;ja;RanunPel en RanunBat;17/08/2017;2017;3260;digitaal;mon3260;;is vervangpunt van SchNe_04o;1;#NAAM?;0,00;ja;ja;15;2;4;;;;;;
82;SchNe_04o;565;1_4_565;SCHEPPELIJKE NETE;10-50;0;Antwerpen;203779,3;209650,2;7,062207;1497974;>10;7;6;2020;1b;Kropstraat 54, 2400 Mol;;;;;;;17/05/2017;2017;3260;;niet meetellen (is vervangen);permanent ongeschikt: overwelving;"onder autobaan; verschuiven SO of SA";1;#NAAM?;;;nee;10;30;0;;;;;;
83;SchNe_05;1198;1_4_1198;SCHEPPELIJKE NETE;10-50;0;Antwerpen;208236;210749,2;20,91162;1596534;>10;8;6;2020;1d;Schooldreef 122, 2400 Mol;ja;ja;ja;versie 1.0;ja;CalliHam, PotamBer, Ranun Bat, RanunPel;19/05/2017;2017;3260;digitaal;niet meetellen (2x bezocht);tijdelijk niet toegankelijk: niet veilig om alleen te bemonsteren;;1;#NAAM?;0,00;ja;nee;0;0;0;"code inboveg aanpassen (Pieter; CvS)";;;;;
84;SchNe_05;1198;1_4_1198;SCHEPPELIJKE NETE;10-50;0;Antwerpen;208236;210749,2;20,91162;1596534;>10;8;6;2020;;;ja;ja;nee;versie 1.0;ja;CalliHam, PotamBer, Ranun Bat, RanunPel;17/08/2017;2017;3260;digitaal;mon3260;;;1;#NAAM?;0,00;ja;nee;0;0;1;;;;;;
85;Voer_02;956;1_4_956;VOER;10-50;1;Limburg;251490,9;160895,3;15,68538;2589570;>10;47;6;2020;8;Ottegraeven 350, 3798 Voeren;ja;;nee;versie 1.0;nee;FontiAnt;17/07/2017;2017;3260;digitaal;uitval (ongeschikt);permanent ongeschikt: schaduw;naast politiegebouw;1;#NAAM?;0,90;;nee;70;0;0;klasse in inboveg niet correct;;;;;
86;ZilBe_01;1464;1_4_1464;ZILTBEKE;<10;0;Oost-Vlaanderen;81436,77;212954,8;12,68345;434881;<10;5;6;2020;2;Brezendedreef 10, 9990 Maldegem;ja;ja;nee;versie 1.0;ja;RanunBat;19/05/2017;2017;3260;digitaal;mon3260;;;1;#NAAM?;0,18;;nee;5;0;0;;;;;;
87;ZwaBe_01;1459;1_4_1459;ZWARTEBEEK;<10;1;Limburg;219906,5;198739,1;6,979049;8976594;<10;23;6;2020;5;Hoefstraat 4, 3940 Hechtel-Eksel;ja;ja;nee;versie 1.0;nee;CalliHam, PotamPol;7/07/2017;2017;gh;digitaal;uitval (gh);permanent ongeschikt: schaduw;ineens heel het habitatwaardig traject bekijken;1;#NAAM?;0,53;;nee;50;0;0;;;;;;
88;Abeek_06;541;1_4_541;ABEEK;<10;1;Limburg;230428,3;198290,8;4,852762;10930130;<10;27;7;2021;-5;Beemdstraat 53, 3670 Meeuwen-Gruitrode;niet nodig;ja;nee;versie 1.0;;;29/08/2016;2017;gh;digitaal;uitval (gh);permanent ongeschikt: schaduw;traject is bekeken in 2016 en is gh;1;#NAAM?;0,81;;nee;90;0;0;;;;;;
89;BolBe_03;475;1_4_475;BOLLISENBEEK;<10;1;Limburg;223830,8;198026;7,960512;12995794;<10;30;7;2021;-5;Heihuiskens, 3990 Peer;ja;ja;nee;versie 1.0;;;7/07/2017;2017;gh;digitaal;uitval (gh);;;1;#NAAM?;0,00;;nee;0;1;0;;;;;;
90;Dommel_06;926;1_4_926;DOMMEL;>50;1;Limburg;224866,8;209874,3;6,740147;2992914;>10;52;7;2021;-7;nabij Urnenveldstraat 42, 3900 Overpelt;ja;;ja;versie 1.0;;;17/07/2017;2017;gh;digitaal;uitval (gh);;;1;#NAAM?;0,01;;nee;3;0;0;;;;;;
91;GouLo_05;826;1_4_826;GOUWBERGSE LOOP;<10;1;Antwerpen;181207,3;242554,1;13,55172;12385374;<10;29;7;2021;4;Strijbeek, Hoogstraten;ja;ja;nee;versie 1.0;;;13/07/2017;2017;3260;digitaal;uitval (ongeschikt);permanent ongeschikt: schaduw;;1;#NAAM?;0,52;;nee;60;0;0;klasse in inboveg niet correct;;;;;
92;KlHGr_01;1273;1_4_1273;KLEINE HOOFDGRACHT;10-50;1;Antwerpen;208308,8;206144,7;16,04622;2746230;>10;50;7;2021;9;Ongelberg 42, 2490 Balen;ja;;;versie 1.0;;;17/08/2017;2017;gh;digitaal;uitval (gh);;volgend jaar nogmaals doen om te controleren op waterranonkels;1;#NAAM?;0,18;;nee;10;2;0;;;;;;
93;RodLo_01;1292;1_4_1292;RODE LOOP;10-50;1;Antwerpen;193714,6;216777,6;11,88842;3009526;>10;53;7;2021;;;ja;ja;nee;versie 1.1;ja;CalliHam, RanunBat;24/05/2018;2018;gh;digitaal;niet meetellen (2x bezocht);;momenteel segment aangeduid als gh;1;#NAAM?;0,07;ja;nee;0;0;0;;;;;;
94;LoeNe_02;1320;1_4_1320;LOEIJENS NEETJE;10-50;0;Antwerpen;197019,2;218119,8;6,698182;1762550;>10;9;7;2021;;Kortijnen 16, 2470 Retie;ja;ja;nee;;ja;PotamObt, RanunBat;24/05/2018;2018;3260;digitaal;niet meetellen (2x bezocht);;momenteel segment aangeduid als gh;1;#NAAM?;0;ja;nee;0;0;0;;;;;;
95;DesNe_03;1458;1_4_1458;DESSELSE NEET;10-50;1;Antwerpen;202424,1;217095,4;8,716676;2685046;>10;49;7;2021;;Abergstraat, 2470 Retie;ja;ja;nee;;ja;PotamObt, RanunAquG, PotamPol;24/05/2018;2018;gh;digitaal;niet meetellen (2x bezocht);;;1;#NAAM?;0,08;ja;nee;25;0;0;;;;;;
96;GroNe_12o;1602;1_4_1602;GROTE NETE;10-50;1;Antwerpen;212018,0926;205957,9558;14,09911;3057270;>10;56;7;2021;;;ja;ja;nee;;ja;RanunPel;25/05/2018;2018;gh;digitaal;niet meetellen (is vervangen);permanent ongeschikt: schaduw;;1;#NAAM?;0,26;;nee;40;0;0;;;;;;
97;GroNe_12;;;;;;;211929;205974;;;>10;56;7;2021;;Papenberg 4, 2490 Balen;ja;ja;nee;;ja;RanunPel;25/05/2018;2018;gh;digitaal;niet meetellen (2x bezocht);;;1;#NAAM?;0,26;ja;ja;20;0;0;;;;;;
98;GroNe_02;1575;1_4_1575;GROTE NETE;10-50;1;Antwerpen;210170,4;206330;12,26365;3097462;>10;57;8;2022;;;ja;ja;nee;;ja;RanunPel;25/05/2018;2018;gh;digitaal;niet meetellen (2x bezocht);permanent ongeschikt: schaduw;mogelijk sterke schaduw;1;#NAAM?;0,46;ja;nee;30;0;0;;;;;;
99;KlHGr_01;1273;1_4_1273;KLEINE HOOFDGRACHT;10-50;1;Antwerpen;208308,8;206144,7;16,04622;2746230;>10;50;7;2021;;;ja;ja;nee;;ja;RanunAqu;25/05/2018;2018;gh;digitaal;niet meetellen (2x bezocht);;"vorig jaar ook bekeken (meetpunt ligt op knooppunt 88 van wandelroute; parkeer nabij knooppunt 95 & ga naar 88)";1;#NAAM?;0,18;ja (vorig jaar in aug bezocht);nee;2;2;0;;;;;;
100;RodLo_01;1292;1_4_1292;RODE LOOP;10-50;1;Antwerpen;193714,6;216777,6;11,88842;3009526;>10;53;7;2021;;;ja;ja;nee;;ja;CalliHam, RanunBat;17/07/2018;2018;gh;digitaal;uitval (gh);;momenteel segment aangeduid als gh;1;#NAAM?;0,07;ja;nee;0;0;0;;;;;;
101;LoeNe_02;1320;1_4_1320;LOEIJENS NEETJE;10-50;0;Antwerpen;197019,2;218119,8;6,698182;1762550;>10;9;7;2021;;Kortijnen 16, 2470 Retie;ja;ja;nee;;ja;PotamObt, RanunBat;17/07/2018;2018;3260;digitaal;mon3260;;momenteel segment aangeduid als gh;1;#NAAM?;0;evt volgend jaar nogmaals in voorjaar voor waterranonkel op soort te brengen;nee;0;0;0;;;;;;
102;DesNe_03;1458;1_4_1458;DESSELSE NEET;10-50;1;Antwerpen;202424,1;217095,4;8,716676;2685046;>10;49;7;2021;;Abergstraat, 2470 Retie;ja;ja;nee;;ja;PotamObt, RanunAquG, PotamPol;17/07/2018;2018;3260;digitaal;mon3260;;;1;#NAAM?;0,08;ja;nee;20;0;0;;;;;;
103;BriLo_02;1420;1_4_1420;BRISDILLOOP;10-50;1;Antwerpen;209691,6;204756;6,183306;3012470;>10;54;7;2021;;Emiel de Baecklaan, Balen;ja;ja;mss;;nee;PotamBer, PotamPol;18/07/2018;2018;ongekend (geen opname);digitaal;uitval (tijdelijk ongeschikt);tijdelijk niet geschikt: droog;drooggevallen;1;#NAAM?;0,58;volgend jaar of eind seizoen als niet meer droogstaat???;nee;2;0;0;;;;;;
104;BriLo_06;882;1_4_882;BRISDILLOOP;<10;1;Antwerpen;211215,2;204948,3;15,71684;11085430;<10;28;7;2021;;Emiel de Baecklaan 1, 2490 Balen;ja;ja;nee;;nee;PotamBer, PotamPol;18/07/2018;2018;3260;digitaal;mon3260;;;1;#NAAM?;0,11;;nee;4;0;0;;;;;;
105;GroNe_12;1602;1_4_1602;GROTE NETE;10-50;1;Antwerpen;211929;205974;14,09911;3057270;>10;56;7;2021;;Papenberg 4, 2490 Balen;ja;ja;nee;;ja;RanunPel;18/07/2018;2018;gh;digitaal;uitval (gh);;;1;#NAAM?;0,26;ja;ja;25;0;0;;;;;;
106;GroNe_02;1575;1_4_1575;GROTE NETE;10-50;1;Antwerpen;210170,4;206330;12,26365;3097462;>10;57;8;2022;;;ja;ja;nee;;ja;RanunPel;18/07/2018;2018;ongekend (geen opname);digitaal;uitval (ongeschikt);permanent ongeschikt: schaduw;;1;#NAAM?;0,46;ja;nee;;0;0;;;;;;
107;BorBe_01;1011;1_4_1011;BORNEBEEK;<10;1;West-Vlaanderen;74428,09;200450,4;11,76911;8185921;<10;19;5;2019;;"provinciaal domein bulskampveld Beernem; parking Drie Koningen (Bulskampveld)
 Bulscampveld, 8730 Beernem";ja;ja;nee;;nee;PotamPol;20/07/2018;2018;3260;digitaal;uitval (tijdelijk ongeschikt);tijdelijk niet geschikt: droog;wel habitat aangetroffen;1;#NAAM?;0;"drooggevallen; volgend jaar opnieuw in voorjaar";nee;0;4;0;;;;;;
108;GouLo_15;808;1_4_808;GOUWBERGSE LOOP;<10;1;Antwerpen;180065,9;243280,4;4,917778;14805854;<10;35;8;2022;;;ja;ja;nee;;nee;CalliHam, PotamBer;25/07/2018;2018;gh;digitaal;uitval (gh);;"volgegroeid met riet en gr egelskop; volgend jaar deze zone niet meer doen";1;#NAAM?;0,28;;nee;2;0;0;;;;;;
109;GouLo_14;810;1_4_810;GOUWBERGSE LOOP;<10;1;Antwerpen;180164,1;243219;25,91336;13757278;<10;32;8;2022;;;ja;ja;nee;;nee;CalliHam, PotamBer;25/07/2018;2018;gh;digitaal;uitval (gh);;"volgegroeid met riet en gr egelskop; volgend jaar deze zone niet meer doen";1;#NAAM?;0,33;;nee;5;0;0;;;;;;
110;GouLo_11;817;1_4_817;GOUWBERGSE LOOP;<10;1;Antwerpen;180629,4;243028,1;10,10853;14761054;<10;34;8;2022;;;ja;ja;nee;;nee;CalliHam, PotamBer;25/07/2018;2018;gh;digitaal;uitval (gh);permanent ongeschikt: schaduw;"momenteel segment aangeduid als gh; vraag buitenlandse verzekering aan; door kruidruimingen mss volgend jaar deze zone mss wel nog de moeite";1;#NAAM?;0,09;;nee;40;0;0;;;;;;
111;GouLo_10;819;1_4_819;GOUWBERGSE LOOP;<10;1;Antwerpen;180758,8;242996,4;9,229871;14154846;<10;33;8;2022;;;ja;ja;nee;;nee;CalliHam, PotamBer;25/07/2018;2018;gh;digitaal;uitval (gh);permanent ongeschikt: schaduw;"momenteel segment aangeduid als gh; vraag buitenlandse verzekering aan; door kruidruimingen mss volgend jaar deze zone mss wel nog de moeite";1;#NAAM?;0,01;;nee;40;0;0;;;;;;
112;Berwijn_04;359;1_4_359;BERWIJN;>50;1;Limburg;245581;161040;15,5073;3173042;>10;60;8;2022;;;ja;ja;ja;;(ja);RanunFlu;6/08/2018;2018;3260;digitaal;mon3260;;mogelijk sterke schaduw;1;#NAAM?;0,11;;nee;2;0;0;;;;;;
113;Kikbeek_01;294;1_4_294;KIKBEEK;>50;0;Limburg;244775,4;184397,4;9,858017;1781234;>10;10;8;2022;;;ja;ja;ja;;nee;PotamBer;6/08/2018;2018;gh;digitaal;uitval (gh);;"momenteel segment aangeduid als gh; vraag buitenlandse verzekering aan";1;#NAAM?;0;;nee;0;3;0;;;;;;
114;Maas_03;114;1_4_114;MAAS;>50;1;Limburg;248393;195090,4;12,17513;819282;>10;16;2;2016;;Langstraat 97, Dilsen-Stokkem;ja;ja;ja;;(ja);PotamNod, RanFlu;8/08/2018;2018;3260;digitaal;mon3260;;;1;#NAAM?;0;;nee;0;0;0;;;;;;
115;Maas_05;118;1_4_118;MAAS;>50;1;Limburg;248393,4;194692,7;15,07594;2342994;>10;41;6;2020;;;;ja;ja;;(ja);PotamNod, RanFlu;8/08/2018;2018;3260;digitaal;mon3260;;;1;#NAAM?;0;;nee;0;0;0;;;;;;
116;Maas_04;125;1_4_125;MAAS;>50;1;Limburg;248229,2;194017,7;41,55827;1917010;>10;32;4;2018;;Kempenstraat, 3650 Dilsen-Stokkem;;ja;ja;;(ja);PotamNod, RanFlu;8/08/2018;2018;gh;digitaal;uitval (gh);;;1;#NAAM?;0;;nee;0;0;0;;;;;;
117;Maas_12;200;1_4_200;MAAS;>50;1;Limburg;247577,7;187835,6;33,64816;2548050;>10;46;6;2020;;;;ja;ja;;(ja);PotamNod, RanFlu;8/08/2018;2018;3260;digitaal;mon3260;;;1;#NAAM?;0;;nee;0;0;0;;;;;;
118;Maas_16;222;1_4_222;MAAS;>50;1;Limburg;246168,6;186296,7;34,44276;2221394;>10;36;5;2019;;;;ja;ja;;(ja);PotamNod, RanFlu;8/08/2018;2018;gh;digitaal;uitval (gh);;;1;#NAAM?;0;;nee;0;0;0;;;;;;
119;BolBe_01;466;1_4_466;BOLLISENBEEK;10-50;1;Limburg;222140,8;199704,1;10,03769;3266770;>10;64;8;2022;;;ja;ja;mss;;nee;CalliHam, PotamPol;10/08/2018;2018;gh;digitaal;uitval (ongeschikt);permanent ongeschikt: schaduw;;1;#NAAM?;0,83;;nee;70;0;0;;;;;;
120;BolBe_04;473;1_4_473;BOLLISENBEEK;<10;1;Limburg;223739,8;198200,7;10,73076;13119698;<10;31;8;2022;;;ja;ja;nee;;nee;CalliHam;10/08/2018;2018;gh;digitaal;uitval (gh);;;1;#NAAM?;0,41;;nee;2;0;0;;;;;;
121;Maas_20;270;1_4_270;MAAS;>50;1;Limburg;246741,7;184338,8;9,1536;2252274;>10;39;5;2019;;;;ja;ja;;nee;PotamNod, PotamPer;4/10/2018;2018;3260;analoog;mon3260;;;1;#NAAM?;0;;nee;1;0;0;;;;;;
122;Maas_21;1859;1_4_1859;MAAS;>50;1;Limburg;245486,1;179315,7;17,38561;2476530;>10;44;6;2020;;;;ja;ja;;(ja);FontiAnt, PotamNod, PotamPer, RanunFlu;4/10/2018;2018;3260;analoog;mon3260;;;1;#NAAM?;0;;nee;0;0;0;;;;;;
123;Maas_22;292;1_4_292;MAAS;>50;1;Limburg;247113,6;182946,6;16,61989;2477554;>10;45;6;2020;;;;ja;ja;;nee;PotamNod, PotamPer;4/10/2018;2018;3260;analoog;mon3260;;;1;#NAAM?;0;;nee;0;0;0;;;;;;
124;Maas_02;253;1_4_253;MAAS;>50;1;Limburg;245296,8;183718,3;14,96502;3034610;>10;55;7;2021;;;;ja;ja;;(ja);PotamNod, PotamPer, RanunFlu;4/10/2018;2018;3260;analoog;uitval (ontoegankelijk);permanent ongeschikt;;1;#NAAM?;0,01;;nee;;0;0;;;;;;
125;Maas_23;1815;1_4_1815;MAAS;>50;1;Limburg;243237,8;176989,8;18,22871;2853618;>10;51;7;2021;;;;ja;ja;;(ja);FontiAnt, PotamNod, PotamPer, RanunFlu;4/10/2018;2018;3260;analoog;mon3260;;;1;#NAAM?;0;;nee;0;0;0;;;;;;
126;DesNe_05;838;1_4_838;DESSELSE NEET;10-50;1;Antwerpen;199502;215645;18,51071;4193526;>10;84;11;2025;2 teamvelddag?;;ja;ja;nee;;ja;PotamObt, RanunPelG;22/05/2019;2019;3260;digitaal;uitval (ongeschikt);permanent ongeschikt: schaduw;;1;#NAAM?;0,59;ja;ja;35;0;0;;;;;;
127;DesNe_04;850;1_4_850;DESSELSE NEET;10-50;1;Antwerpen;200362,2;215761;12,92146;3378422;>10;66;9;2023;2 teamvelddag?;;ja;ja;nee;;ja;PotamBer, PotamObt, RanunBatG;24/05/2019;2019;gh;digitaal;uitval (gh);;;1;#NAAM?;0,09;;nee;1;0;0;;;;;;
128;LoeNe_02;1320;1_4_1320;LOEIJENS NEETJE;10-50;0;Antwerpen;197019,2;218119,8;6,698182;1762550;>10;9;7;2021;2 teamvelddag?;Kortijnen 16, 2470 Retie;ja;ja;nee;;ja;PotamObt, RanunBat;24/05/2019;2019;3260;digitaal;niet meetellen (2x bezocht);;enkel voor identificatie waterranonkels (in 2018 reeds bezocht);0;#NAAM?;0;;nee;;;;;;;;;
129;SchNe_06;1182;1_4_1182;SCHEPPELIJKE NETE;10-50;0;Antwerpen;206779,3;210692,5;9,896528;2366582;>10;12;9;2023;1 WR;;ja;ja;nee;;ja;CalliHam, RanunPelG;24/05/2019;2019;3260;digitaal;uitval (ongeschikt);permanent ongeschikt: schaduw;;1;#NAAM?;0,65;;nee;60;0;0;;;;;;
130;GroNe_07;1535;1_4_1535;GROTE NETE;10-50;1;Antwerpen;207480,5;205708,7;5,263574;3729270;>10;73;10;2024;1 WR;;ja;ja;nee;;ja;id buurt RanunPel;24/05/2019;2019;3260;digitaal;mon3260;;;1;#NAAM?;0,11;ja;nee;20;0;0;;;;;;
131;GroNe_13;1605;1_4_1605;GROTE NETE;10-50;1;Antwerpen;212218,4;205926,9;7,901548;4105846;>10;80;10;2024;1 WR;;ja;ja;nee;;ja;RanunPel;24/05/2019;2019;3260;digitaal;uitval (ongeschikt);permanent ongeschikt: schaduw;;1;#NAAM?;0,48;;nee;60;0;0;;;;;;
132;WarBe_03;404;1_4_404;WARMBEEK;10-50;0;Limburg;229116;209081,4;11,37818;2129938;>10;11;9;2023;1 WR;;ja;ja;nee;;ja;PotamPol, RanunPel;27/05/2019;2019;3260;digitaal;mon3260;;;1;#NAAM?;0,00;ja;nee;0;0;0;;;;;;
133;BriLo_02;1420;1_4_1420;BRISDILLOOP;10-50;1;Antwerpen;209691,6;204756;6,183306;3012470;>10;54;7;2021;"3 vroege zomer; kans op droogval";Emiel de Baecklaan, Balen;ja;ja;nee;;nee;PotamBer, PotamPol;27/05/2019;2019;gh;digitaal;uitval (gh);;in 2019 opnieuw wegens in 2018 droogstaand;1;#NAAM?;0,58;;nee;20;0;0;;;;;;
134;BriLo_03;1415;1_4_1415;BRISDILLOOP;10-50;1;Antwerpen;209333,1;204419,3;13,78292;4028278;>10;79;10;2024;"3 vroege zomer; kans op droogval";;ja;ja;nee;;nee;PotamBer, PotamPol;27/05/2019;2019;gh;digitaal;uitval (ongeschikt);permanent ongeschikt: schaduw;;1;#NAAM?;0,86;;nee;70;0;0;;;;;;
135;BriLo_07;870;1_4_870;BRISDILLOOP;<10;1;Antwerpen;210026,3;204876,6;12,82779;18872182;<10;45;11;2025;"3 vroege zomer; kans op droogval";;ja;ja;nee;;nee;PotamBer, PotamPol;27/05/2019;2019;gh;digitaal;uitval (gh);;opgelet met droogval?;1;#NAAM?;0,03;;nee;0;0;0;;;;;;
136;BriLo_08;878;1_4_878;BRISDILLOOP;<10;1;Antwerpen;210810,9;204865,9;12,53527;19801718;<10;46;11;2025;"3 vroege zomer; kans op droogval";;ja;ja;nee;;nee;PotamBer, PotamPol;27/05/2019;2019;gh;digitaal;uitval (gh);;opgelet met droogval?;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
137;BorBe_02;1008;1_4_1008;BORNEBEEK;<10;1;West-Vlaanderen;74266,94;200677,3;9,170584;16967745;<10;39;9;2023;3 vroege zomer (droogvallend);;ja;ja;nee;;nee;PotamPol;28/05/2019;2019;3260;digitaal;mon3260;;;1;#NAAM?;0,74;;nee;5;9;0;;;;;;
138;BorBe_01;1011;1_4_1011;BORNEBEEK;<10;1;West-Vlaanderen;74428,09;200450,4;11,76911;8185921;<10;19;5;2019;3 vroege zomer (droogvallend);"provinciaal domein bulskampveld Beernem; parking Drie Koningen (Bulskampveld)
Bulscampveld, 8730 Beernem";ja;ja;nee;;nee;PotamPol;28/05/2019;2019;gh;digitaal;niet meetellen (2x bezocht);tijdelijk niet toegankelijk in 2017 & droogval in 2018;"in 2019 opnieuw wegens in 2018 droogstaand & in 2017 ontoegankelijk wegens werken; in 2018 wel PotamPol aangetroffen";1;#NAAM?;0,00;;nee;0;3;0;;;;;;
139;ZwaBe_02;1461;1_4_1461;ZWARTEBEEK;<10;1;Limburg;220057,4;198861;4,382992;18675922;<10;44;10;2024;4 minder kans op droogval;;ja;ja;nee;;nee;PotamPol;1/07/2019;2019;gh;digitaal;uitval (gh);permanent ongeschikt: schaduw;;1;#NAAM?;0,31;;nee;35;0;0;;;;;;
140;BolBe_05;1239;1_4_1239;BOLLISENBEEK;<10;1;Limburg;222714,9;199078,1;8,471;17963218;<10;41;10;2024;4 minder kans op droogval;;ja;ja;nee;;nee;CalliHam;1/07/2019;2019;gh;digitaal;uitval (gh);;;1;#NAAM?;0,32;;nee;10;0;0;;;;;;
141;BolBe_06;476;1_4_476;BOLLISENBEEK;<10;1;Limburg;223875,1;197938;6,718049;20335826;<10;48;11;2025;4 minder kans op droogval;;ja;ja;nee;;nee;CalliHam;1/07/2019;2019;gh;digitaal;uitval (gh);permanent ongeschikt: overwelving;boerderij;1;#NAAM?;0,34;;nee;25;10;0;;;;;;
142;Abeek_05;861;1_4_861;ABEEK;<10;1;Limburg;230673,2;195863,2;15,33468;17279954;<10;40;10;2024;4 minder kans op droogval;;ja;ja;nee;;nee;PotamPol;1/07/2019;2019;gh;digitaal;uitval (gh);;wrschl gh (2016);1;#NAAM?;0,61;;nee;25;0;0;;;;;;
143;GieBe_04;944;1_4_944;GIELISBEEK;<10;1;Limburg;228266,6;200754,7;13,81288;15087570;<10;36;9;2023;4 minder kans op droogval;;nee;nee;nee;;nee;PotamPol;;2019;gh;digitaal;uitval (gh);;"is hoogstwrschl gh (stroomop- en afwaarts gh & weinig kansrijk; niet meer in habitatkaart) --> niet bezocht";0;#NAAM?;0,75;;nee;;;;;;;;;
144;Stiemer_02o;1497;1_4_1497;STIEMER;<10;0;Limburg;230401,568;186948,8448;10,08564;1142226;<10;8;10;2024;4 minder kans op droogval;;ja;ja;nee;;;;1/07/2019;2019;3260;digitaal;niet meetellen (is vervangen);permanent ongeschikt: schaduw en overwelving;;1;#NAAM?;;;;40;25;0;;;;;;
145;Stiemer_02;;;;;;;230307;186913;;;;8;10;2024;4 minder kans op droogval;;ja;ja;nee;;nee;CalliHam;1/07/2019;2019;3260;digitaal;uitval (ongeschikt);permanent ongeschikt: schaduw en bodemplaat;;1;#NAAM?;0,64;;ja;80;0;11;;;;;;
146;Voer_06;1041;1_4_1041;VOER;10-50;1;Limburg;250076,5;161383,9;6,33906;3431858;>10;69;9;2023;5 Voeren;;ja;ja;nee;;nee (RanunFlu);RanunFlu;2/07/2019;2019;3260;digitaal;mon3260;;"overwelving 6 m; beter SO of SA";1;#NAAM?;0,30;;nee;15;4;0;;;;;;
147;Voer_04;20;1_4_20;VOER;10-50;1;Limburg;247930,9;161929,6;5,242937;3902898;>10;77;10;2024;5 Voeren;;ja;ja;nee;;nee (RanunFlu);RanunFlu;2/07/2019;2019;3260;digitaal;uitval (ongeschikt);permanent ongeschikt: schaduw en overwelving;"veel overwelving want tussen gebouwen --> niet geschikt; SO en SA idem";1;#NAAM?;0,00;;nee;30;30;0;;;;;;
148;Voer_01;9;1_4_9;VOER;10-50;1;Limburg;246975,5;162158,4;1,908662;3483058;>10;72;9;2023;5 Voeren;;ja;ja;nee;;nee (RanunFlu);RanunFlu;2/07/2019;2019;3260;digitaal;mon3260;;;1;#NAAM?;0,05;;nee;20;0;0;;;;;;
149;Kikbeek_02;298;1_4_298;KIKBEEK;>50;0;Limburg;244385,7;184427,8;4,683851;2764274;>10;13;10;2024;4 alleen;;ja;ja;nee;;nee;PotamBer;2/07/2019;2019;gh;digitaal;uitval (gh);;;1;#NAAM?;0,06;;nee;5;0;0;;;;;;
150;HanLo_01;831;1_4_831;HANSKENSELSLOOP;10-50;1;Antwerpen;206419;204580;11,42436;3303286;>10;65;9;2023;4 alleen;;ja;ja;nee;;nee;PotamPer;3/07/2019;2019;gh;digitaal;uitval (gh);;;1;#NAAM?;0,33;;ja;10;0;0;;;;;;
151;Asbeek_02;1759;1_4_1759;ASBEEK;10-50;1;Antwerpen;206838,2;204157,8;17,37681;3446646;>10;70;9;2023;4 alleen;;ja;ja;nee;;nee;CalliHam, PotamBer;3/07/2019;2019;gh;digitaal;uitval (gh);;;1;#NAAM?;0,00;;nee;15;3;0;;;;;;
152;GroNe_07;;;;;;;207480,5;205708,7;;;;;;;;;ja;ja;nee;;;;3/07/2019;2019;3260;digitaal;niet meetellen (2x bezocht);;;1;#NAAM?;;ja;nee;25;0;0;;;;;;
153;OudDo_01;109;1_4_109;OUDE DOMMEL;<10;1;Limburg;225054,1;211009,3;12,86633;18530578;<10;43;10;2024;4 alleen;;ja;ja;nee;;nee;CalliHam;4/07/2019;2019;gh;digitaal;uitval (gh);;"overwelving van 8m; SO of SA?";1;#NAAM?;0,01;;nee;0;7;0;;;;;;
